"time","u10","v10","t2m","msdwlwrf","msdwswrf","mslhf","msshf","mtdwswrf","mtnlwrfcs","sst","skt","wind_speed","LE_era5","H_era5"
2022-07-30,1.76132505665807,0.395184295343687,301.1039744481,427.208628548785,-0.000443608732894063,-102.848527447154,-10.5515797982591,0,-273.432306963719,303.509158630311,302.881821765847,1.80511400817173,102.848527447154,10.5515797982591
2022-07-30 01:00:00,1.98082538939911,0.244669931956097,301.196980087986,427.544236360402,-0.000443608732894063,-95.4534824756632,-9.2834699425415,0,-273.956518180465,303.509158630311,302.83719628106,1.99587890386455,95.4534824756632,9.2834699425415
2022-07-30 02:00:00,1.7562291761903,-0.0858928632163563,301.119957982725,425.947991165949,-0.000443608732894063,-93.504682852115,-9.17726574212514,0,-274.934384319799,303.509158630311,302.801472156271,1.7583283263525,93.504682852115,9.17726574212514
2022-07-30 03:00:00,-0.198890296608078,-0.191121655061459,300.625163345625,434.146771950773,-0.000443608732894063,-66.6164448461468,-10.4453755978428,0,-275.843899049168,303.509158630311,302.810610885868,0.275834800411914,66.6164448461468,10.4453755978428
2022-07-30 04:00:00,-1.43435820557016,-0.353887187561992,299.793903722387,435.243821606338,-0.000443608732894063,-64.4701668607458,-11.9449155022289,0,-275.181331349349,303.509158630311,302.811679049068,1.47736914933505,64.4701668607458,11.9449155022289
2022-07-30 05:00:00,-0.145477919853378,0.153004934486039,299.630014581118,439.89258006224,-0.000443608732894063,-66.2578657154139,-12.6740786692665,0,-274.45482200795,303.509158630311,302.765866716281,0.211126348762874,66.2578657154139,12.6740786692665
2022-07-30 06:00:00,0.612675851961575,-1.09573923152611,298.936815633776,442.963644509255,-0.000443608732894063,-75.4821839335418,-14.4890609002624,0,-275.629474061457,303.420297797515,302.815833017067,1.25539482358431,75.4821839335418,14.4890609002624
2022-07-30 07:00:00,-0.248527947090362,-0.824463344025226,299.074181373383,445.011020807265,-0.000443608732894063,-80.4659141708289,-15.7587558932997,0,-273.790600644986,303.420297797515,302.758033519484,0.861107395233723,80.4659141708289,15.7587558932997
2022-07-30 08:00:00,-1.30016668658574,-0.00604149310520774,299.372193218247,440.623665420714,14.2300250014754,-85.7146811569186,-15.4100256829773,76.1749203593334,-273.336945722398,303.420297797515,302.797555557872,1.30018072303287,85.7146811569186,15.4100256829773
2022-07-30 09:00:00,-1.30545130336712,0.0313683268646729,299.175062957867,433.351600678523,107.832825045604,-97.9063716018358,-16.7732437778738,380.645910714803,-272.395460172238,303.420297797515,302.935348610631,1.30582811939137,97.9063716018358,16.7732437778738
