"date","LE_downscaled"
"2022-03-01",9.11788171961653
"2022-03-02",9.20349538256981
"2022-03-03",9.14651710015177
"2022-03-04",9.19027534748012
"2022-03-05",9.2094309787514
"2022-03-06",8.84328555609173
"2022-03-07",8.97789111378913
"2022-03-08",9.10629612405511
"2022-03-09",9.03605307451817
"2022-03-10",8.99296580762774
"2022-03-11",8.57643491546825
"2022-03-12",9.09848866449797
"2022-03-13",9.14805863469632
"2022-03-14",8.83775254817287
"2022-03-15",8.85476792389346
"2022-03-16",9.12981484863554
"2022-03-17",9.11364938146964
"2022-03-18",9.01578258344234
"2022-03-19",8.92194854989321
"2022-03-20",8.80029463511032
"2022-03-21",9.21369428522618
"2022-03-22",9.05027441887676
"2022-03-23",9.03212009687437
"2022-03-24",8.83885364427613
"2022-03-25",8.79064972143088
"2022-03-26",8.9064024492854
"2022-03-27",8.66210363322668
"2022-03-28",8.91902032244362
"2022-03-29",8.78127319992661
"2022-03-30",8.90956121873161
"2022-03-31",8.91136082267536
"2022-04-01",8.977719067523
"2022-04-02",8.90826054895964
"2022-04-03",9.02173882517588
"2022-04-04",9.20629973670777
"2022-04-05",9.29351687086142
"2022-04-06",9.06346004471322
"2022-04-07",9.00007475934436
"2022-04-08",9.49525832252939
"2022-04-09",8.94554985668139
"2022-04-10",8.98327616191911
"2022-04-11",9.01930265004743
"2022-04-12",8.98763925522825
"2022-04-13",8.85455802744878
"2022-04-14",8.96881395278794
"2022-04-15",9.17388277924294
"2022-04-16",9.11829463065525
"2022-04-17",9.13247124298464
"2022-04-18",9.07768827092245
"2022-04-19",9.10073902965899
"2022-04-20",8.91661855656841
"2022-04-21",8.86709331839925
"2022-04-22",8.82698933376357
"2022-04-23",9.1206413417253
"2022-04-24",8.80562462843514
"2022-04-25",8.86669417106182
"2022-04-26",8.78382980744136
"2022-04-27",8.91545552380934
"2022-04-28",8.87512787902768
"2022-04-29",8.91385205260897
"2022-04-30",8.99266988804999
"2022-05-01",9.19932498107873
"2022-05-02",9.14912876247166
"2022-05-03",9.28401647604554
"2022-05-04",8.90583125568184
"2022-05-05",8.74064275371656
"2022-05-06",8.46836233293392
"2022-05-07",8.53943808639892
"2022-05-08",9.30375362369636
"2022-05-09",9.0606178403967
"2022-05-10",9.06072795000702
"2022-05-11",8.94300701286793
"2022-05-12",8.7816964337413
"2022-05-13",8.86227946387284
"2022-05-14",9.00262448500847
"2022-05-15",9.24296967787144
"2022-05-16",9.09945556451364
"2022-05-17",9.20803052214509
"2022-05-18",8.81032149150056
"2022-05-19",8.6525275380537
"2022-05-20",8.65495683133151
"2022-05-21",8.93891575265928
"2022-05-22",9.03480745955137
"2022-05-23",9.03056479862852
"2022-05-24",8.85843595028743
"2022-05-25",8.69793054768629
"2022-05-26",8.39350500253929
"2022-05-27",8.35774002473548
"2022-05-28",8.62672747998434
"2022-05-29",8.44503974109688
"2022-05-30",8.60505653230218
"2022-05-31",8.77315605709044
"2022-06-01",8.9039421876797
"2022-06-02",8.92326298336647
"2022-06-03",9.3658932940984
"2022-06-04",9.10083881649335
"2022-06-05",8.89760056231001
"2022-06-06",9.06080365036412
"2022-06-07",8.97839348888624
"2022-06-08",8.98698892034228
"2022-06-09",8.8386540706074
"2022-06-10",8.95251773045979
"2022-06-11",9.23777388063422
"2022-06-12",9.14385382395201
"2022-06-13",9.1584708747227
"2022-06-14",8.77043084423489
"2022-06-15",8.90213226095997
"2022-06-16",9.12555154216074
"2022-06-17",9.19062976278835
"2022-06-18",9.06674612839637
"2022-06-19",9.21306115496681
"2022-06-20",8.96342890465796
"2022-06-21",9.12926430058391
"2022-06-22",9.1798596665284
"2022-06-23",9.1721932849095
"2022-06-24",9.03067490823884
"2022-06-25",9.00206361418087
"2022-06-26",8.95483003227663
"2022-06-27",8.98250539464683
"2022-06-28",9.04482055224033
"2022-06-29",9.23570588451529
"2022-06-30",8.80743455515485
"2022-07-01",8.24505316134347
"2022-07-02",8.4609815481168
"2022-07-03",8.98305938362378
"2022-07-04",9.30627582195787
"2022-07-05",8.8335064463247
"2022-07-06",9.08031713786897
"2022-07-07",9.15091116178881
"2022-07-08",9.55680615377594
"2022-07-09",9.35230852092451
"2022-07-10",9.19550211304525
"2022-07-11",9.15926228754691
"2022-07-12",9.02806324591895
"2022-07-13",9.27721720760795
"2022-07-14",9.01321221222632
"2022-07-15",8.91898591319039
"2022-07-16",9.20687781216198
"2022-07-17",9.12538981867059
"2022-07-18",9.17302942976291
"2022-07-19",8.900298247763
"2022-07-20",8.96324997654119
"2022-07-21",8.93540256790484
"2022-07-22",8.88874362052948
"2022-07-23",8.8168695723896
"2022-07-24",9.01428922185231
"2022-07-25",8.96408268046927
"2022-07-26",9.00739360750568
"2022-07-27",8.70580682574988
"2022-07-28",8.78800020893243
"2022-07-29",8.97206906814318
"2022-07-30",9.09823059509877
"2022-07-31",9.22264757291576
"2022-08-01",9.17790522094512
"2022-08-02",9.09901512607234
"2022-08-03",8.90216322928788
"2022-08-04",9.21689434577626
"2022-08-05",8.7798142475898
"2022-08-06",8.86518016391985
"2022-08-07",8.6507348159606
"2022-08-08",8.93469373728837
"2022-08-09",8.89303445440684
"2022-08-10",8.92751252613997
"2022-08-11",9.33914009971466
"2022-08-12",8.98732613102389
"2022-08-13",9.1530342127129
"2022-08-14",8.86891700882027
"2022-08-15",9.06402091554082
"2022-08-16",9.03099491429385
"2022-08-17",8.92496280047587
"2022-08-18",8.86209021298009
"2022-08-19",9.06712807110718
"2022-08-20",9.32727578920211
"2022-08-21",8.86030781366296
