"Location","Correlation","RMSE","MBE","MAPE"
"5.25_100",0.157,0.168,0,33.881
"5.25_100.25",0.06,0.177,0,35.872
"5.25_100.50",0.06,0.177,0,35.872
"5.50_100",0.157,0.168,0,33.881
"5.50_100.25",0.06,0.177,0,35.872
"5.50_100.50",0.06,0.177,0,35.872
"5.75_100",0.24,0.16,0.001,33.396
"5.75_100.25",0.191,0.164,0,34.33
"5.75_100.50",0.191,0.164,0,34.33
