"Location","Correlation","RMSE","MBE","MAPE"
"5.25_100",0.228,3.931,0.069,39.197
"5.25_100.25",0.102,4.24,0.066,44.093
"5.25_100.50",0.102,4.24,0.066,44.093
"5.50_100",0.228,3.931,0.069,39.197
"5.50_100.25",0.102,4.24,0.066,44.093
"5.50_100.50",0.102,4.24,0.066,44.093
"5.75_100",0.26,3.851,0.065,37.643
"5.75_100.25",0.146,4.141,0.064,43.255
"5.75_100.50",0.146,4.141,0.064,43.255
