"Location","Correlation","RMSE","MBE","MAPE"
"5.25_100",0.604,38.845,0.021,21.278
"5.25_100.25",0.586,39.722,0.011,21.338
"5.25_100.50",0.586,39.722,0.011,21.338
"5.50_100",0.604,38.845,0.021,21.278
"5.50_100.25",0.586,39.722,0.011,21.338
"5.50_100.50",0.586,39.722,0.011,21.338
"5.75_100",0.629,37.613,-0.009,20.685
"5.75_100.25",0.615,38.327,-0.016,20.566
"5.75_100.50",0.615,38.327,-0.016,20.566
