"Location","MBE","RMSE","MAPE","Pearson_Correlation"
"Point 1",-0.0107589509127377,3.28922930032554,242.797358793213,0.163481585922389
"Point 2",0.100731480811556,3.54529959724954,249.842087025777,0.172375487506916
"Point 3",0.100731480811556,3.54529959724954,249.842087025777,0.172375487506916
"Point 4",-0.0107589509127377,3.28922930032554,242.797358793213,0.163481585922389
"Point 5",0.100731480811556,3.54529959724954,249.842087025777,0.172375487506916
"Point 6",0.100731480811556,3.54529959724954,249.842087025777,0.172375487506916
"Point 7",-0.007354482593045,3.52188412405787,252.574092970317,0.178830721487292
"Point 8",0.0806764757166882,3.15362440096057,225.710171448936,0.190192561084687
"Point 9",0.0806764757166882,3.15362440096057,225.710171448936,0.190192561084687
