"Location","Correlation","RMSE","MBE","MAPE"
"5.25_100",0.728,0.377,0,1.033
"5.25_100.25",0.727,0.378,0,1.049
"5.25_100.50",0.727,0.378,0,1.049
"5.50_100",0.728,0.377,0,1.033
"5.50_100.25",0.727,0.378,0,1.049
"5.50_100.50",0.727,0.378,0,1.049
"5.75_100",0.703,0.395,0,1.091
"5.75_100.25",0.692,0.402,-0.001,1.109
"5.75_100.50",0.692,0.402,-0.001,1.109
