"Location","Correlation","RMSE","MBE","MAPE"
"5.25_100",0.209,0.951,0.026,46.478
"5.25_100.25",0.104,1.011,0.025,49.157
"5.25_100.50",0.104,1.011,0.025,49.157
"5.50_100",0.209,0.951,0.026,46.478
"5.50_100.25",0.104,1.011,0.025,49.157
"5.50_100.50",0.104,1.011,0.025,49.157
"5.75_100",0.224,0.945,0.025,45.281
"5.75_100.25",0.141,0.994,0.026,46.44
"5.75_100.50",0.141,0.994,0.026,46.44
