"Location","Correlation","RMSE","MBE","MAPE"
"5.25_100",0.704,0.646,0.001,1.892
"5.25_100.25",0.793,0.542,-0.001,1.526
"5.25_100.50",0.793,0.542,-0.001,1.526
"5.50_100",0.704,0.646,0.001,1.892
"5.50_100.25",0.793,0.542,-0.001,1.526
"5.50_100.50",0.793,0.542,-0.001,1.526
"5.75_100",0.695,0.657,0,1.902
"5.75_100.25",0.788,0.546,0,1.539
"5.75_100.50",0.788,0.546,0,1.539
